"mes","nome","total_focos"
11,"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",28
11,"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO",22
11,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL",9
11,"PARQUE ESTADUAL DO JALAPãO",8
11,"ÁREA DE PROTEçãO AMBIENTAL FOZ DO RIO SANTA TEREZA",5
11,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS",4
11,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL",3
11,"MONUMENTO NATURAL DAS ÁRVORES FOSSILIZADAS",3
12,"ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO",75
12,"ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO",17
12,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS",2
12,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL",1
12,"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL",1
